transaction_id,customer_id,transaction_total,num_items,description
643820,2750,49.0,6,GbrB7fXNHurLnRmeRsl9l618YqaaGO3XQfwtLpHP2UGfQ
643848,32552,49.43,8,r0ou61vJZjAfEszLulmXJADTKEejY2Y9
643851,9227,26.2,9,kOQCv3VOg7rGn1C7DxivEoINC2FL9bSX5JW
643862,20544,49.85,1,E06phomACfKJ7UP6MTjtMTl
643866,37334,78.05,2,e4CHrrlpQ6ZHWytcED1Qz1qVa01ovXkkQOcW0wX4eFJTb
643872,37351,97.39,12,5c34APoXNrO6NA1IhfcYKZwT
643884,35587,65.71,5,LN0kvOhiIeeUsCfBrA5KMkogah1RXURS1SuqHyAEk
643919,2982,12.03,2,pNlGLDc2d8BVCU9qFIiAe1G
643954,18117,98.5,10,SRoXPbf9GdKT6pZ8HS1hCoa56DrLGh
643989,24556,38.54,10,X8WLrnkITFHf91ePJ91lowt2SFHYEm1FrlcUGk1g5v
643996,3341,91.02,10,RsDeUS9Ru7q5gFQhE1HXniiYTeg
644003,31834,40.78,1,bLXRXy3eHxPaKlwDVHtZ
644012,31267,90.73,7,6r1p27bdJiivlE2TWsym4jP
644030,17863,30.69,13,yzkU94odcgS7k84wmbovi6qE3VbjxNPWqdvrhm0
644056,18993,30.33,2,hF5Vh0uFc0gsD9u0MRYW4KZpwNaKcIZfkah
644084,5789,37.43,2,BKAkZ6rftNOaAtoy6nIQINbB9Eq
644098,26659,10.46,2,DocXADruvUzAowwgdJWU3UZYmWQDFTHv4yxDmPzF4XP4uogn
644115,44425,53.16,9,XUP2pGgLZ2HVdcgAlxMmN2iW3bMKx7q0y
644149,39337,80.39,7,D8xXXpM9dTmSLDVi9NFendMXb8N6n3sYs7AF2nkOCe5yEAETWB
644164,41395,20.44,15,GbhBogmCaSIzbK6ebPlRhUM3JcB3DcvgzYrU
644169,48433,51.21,9,OhBnCuatrWLPbhfDQs8YLl1IdLkRDcfrgRwYIlkotHThKL
644175,23345,91.9,3,A0BEb3ekhMNvETLdcqnRZ2cAVa0A4iKpBPCbgmivtoI6cpDUp
644216,47081,32.36,3,fGfxdTQuym5zCUyKxrn7s7WvGSamyzp3cILxwGkAlBLiaS1
644234,49341,24.39,14,LdI0TpVcFPdkgUFGcQWyi
644239,35573,65.52,6,bETkc8CPlZiFCD1KLUnfbkTahXpgHeZPmoHEeG0CJfR
644240,459,55.37,9,ThP5z8XAuqbzKKhgMIVZMjl5bqHmeygeWhA
644307,23022,81.95,5,qJdH1bETvJnkAiLFe2tdxPB1exSwl0S
644314,48935,30.73,10,s76LA3yfpJwtHjXvoKRHd6mtEKNI5nuEAZ63wzt1Kckp
644323,2883,57.68,2,2htOHTA5ameYGkIBzuLoi38WwkogLWwx24V5xW
